transaction_id,transaction_date,amount,transaction_type,merchant_name,category,account_type,location,currency,description
24,8/11/2022,6317.65,withdrawal,Flipbug,transportation,savings,Santa Cruz,PHP,accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor
25,8/21/2022,6828.52,transfer,Fanoodle,groceries,checking,La Esperanza,MXN,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat
26,8/26/2022,2388.99,transfer,Meetz,groceries,credit card,San Alberto,COP,orci eget orci vehicula condimentum curabitur in libero ut massa
27,8/24/2022,7517.12,transfer,Devbug,utilities,checking,Lijiazui,CNY,in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus
28,8/13/2022,1094.38,transfer,Skaboo,utilities,checking,Dongshangguan,CNY,urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi
29,8/21/2022,3212.2,transfer,Photospace,utilities,credit card,Czarna Białostocka,PLN,purus eu magna vulputate luctus cum sociis natoque penatibus et magnis
30,8/5/2022,7333.44,transfer,Zazio,entertainment,checking,Vila Verde,EUR,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor
31,8/12/2022,2125.14,transfer,Feednation,groceries,savings,El Porvenir,MXN,in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus
32,8/5/2022,6896.49,withdrawal,Kaymbo,transportation,credit card,Raposos,BRL,eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa
33,8/15/2022,1725.59,withdrawal,Skyba,transportation,credit card,Reutov,RUB,morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus
34,8/19/2022,3701.65,deposit,Gigaclub,entertainment,credit card,Frutillar,CLP,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non
35,8/20/2022,7345.49,deposit,Myworks,entertainment,checking,Nanqiu,CNY,interdum in ante vestibulum ante ipsum primis in faucibus orci
36,8/10/2022,3435.03,withdrawal,Youspan,transportation,credit card,Besko,PLN,sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet
37,8/13/2022,8262.87,deposit,Dabfeed,utilities,savings,São Mateus do Maranhão,BRL,ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus
38,8/4/2022,2203.06,transfer,Roodel,transportation,savings,Lahad Datu,MYR,sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim
39,8/25/2022,9969.44,deposit,Flipbug,groceries,checking,Persen,IDR,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum
40,8/8/2022,6238.6,deposit,Fanoodle,entertainment,savings,Bordeaux,EUR,ante ipsum primis in faucibus orci luctus et ultrices posuere
41,8/3/2022,6422.56,withdrawal,Twitterlist,utilities,credit card,Nikhom Phattana,THB,eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien
42,8/5/2022,9534.68,withdrawal,Pixope,entertainment,credit card,Kuštilj,RSD,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id
43,8/7/2022,9936.72,deposit,Flashdog,utilities,credit card,Curug,IDR,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit
44,8/6/2022,607.81,withdrawal,Voonix,utilities,credit card,Karangharjo,IDR,luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit
45,8/4/2022,9267.31,withdrawal,Dabjam,transportation,savings,Presnenskiy,RUB,morbi non lectus aliquam sit amet diam in magna bibendum
46,8/15/2022,7564.75,deposit,Oyonder,entertainment,credit card,Yulin,CNY,varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam
47,8/25/2022,3355.25,withdrawal,Midel,utilities,checking,Liuzhi,CNY,varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla
48,8/13/2022,2924.51,deposit,Jabbercube,groceries,savings,Luleå,SEK,eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor
49,8/2/2022,2886.1,withdrawal,Rhycero,utilities,checking,Conel,PHP,tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum
50,8/18/2022,596.33,deposit,Bluejam,groceries,checking,La Unión,USD,porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet
51,8/24/2022,5486.9,transfer,Viva,utilities,savings,Shar,KZT,quisque porta volutpat erat quisque erat eros viverra eget congue eget semper
52,8/19/2022,2146.85,transfer,Wordify,groceries,savings,Jining,CNY,eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing
53,8/9/2022,6368.23,transfer,Zoomzone,transportation,checking,Verd,EUR,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque
54,8/20/2022,2058.25,deposit,Trilith,groceries,credit card,Saintes,EUR,praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut
55,8/16/2022,5433.2,transfer,Oloo,utilities,checking,Longjumeau,EUR,curabitur in libero ut massa volutpat convallis morbi odio odio elementum
56,8/4/2022,3108.08,withdrawal,Lajo,groceries,credit card,Cipicung,IDR,leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis
57,8/15/2022,3976.13,transfer,Kayveo,utilities,savings,Oenopu,IDR,in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate
58,8/7/2022,2327.84,transfer,Feednation,groceries,credit card,Örbyhus,SEK,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et
59,8/17/2022,9100.39,deposit,Yodoo,utilities,checking,Weiting,CNY,donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla
60,8/17/2022,7143.09,transfer,Eabox,groceries,checking,Oguma,NGN,duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis
61,8/26/2022,3965.37,deposit,Oyoyo,entertainment,savings,Kotabunan,IDR,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat
62,8/21/2022,8626.16,transfer,Izio,utilities,savings,Flores da Cunha,BRL,consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit
63,8/8/2022,5990.75,deposit,Mynte,entertainment,checking,Íquira,COP,mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi
64,8/27/2022,641.57,transfer,Shuffletag,entertainment,checking,Qārah,SYP,aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan
65,8/22/2022,4742.96,deposit,Quinu,entertainment,checking,Kyankwanzi,UGX,semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum
66,8/3/2022,5394.43,withdrawal,Rhyloo,groceries,savings,Zarichchya,UAH,primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam
67,8/20/2022,9476.2,transfer,Jabberbean,utilities,checking,Mórrope,PEN,risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl
68,8/20/2022,266.53,deposit,Demimbu,groceries,checking,Machetá,COP,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor
69,8/20/2022,4213.98,deposit,Camido,utilities,checking,Abua,NGN,erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus
70,8/10/2022,1189.09,withdrawal,Jabbertype,transportation,credit card,Berón de Astrada,ARS,nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non
71,8/25/2022,9392.5,deposit,Divanoodle,transportation,checking,Yuanjue,CNY,luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus
72,8/24/2022,1782.65,transfer,Gigazoom,entertainment,credit card,Phetchabun,THB,sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet
73,8/18/2022,5230.9,deposit,Avamm,groceries,credit card,Milwaukee,USD,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam
74,8/10/2022,5494.63,deposit,Edgeclub,utilities,savings,Tsengel,MNT,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue
75,8/20/2022,4906.79,deposit,Viva,transportation,credit card,Zhentou,CNY,augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
76,8/27/2022,6217.66,transfer,Roodel,entertainment,savings,Guadalupe,MXN,id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in
77,8/8/2022,4426.09,transfer,Flipstorm,transportation,credit card,Fagersta,SEK,pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer
78,8/28/2022,4060.51,withdrawal,Yombu,transportation,checking,San Nicolas,PHP,ut nulla sed accumsan felis ut at dolor quis odio consequat varius
79,8/22/2022,9946.83,deposit,Mynte,entertainment,checking,Maués,BRL,massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id
80,8/5/2022,7302.93,withdrawal,Babbleblab,entertainment,credit card,Babakan,IDR,quam a odio in hac habitasse platea dictumst maecenas ut
81,8/2/2022,23.98,withdrawal,Demizz,groceries,checking,Minante Segundo,PHP,nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac
82,8/7/2022,1979.55,transfer,Browsetype,entertainment,checking,Coja,EUR,adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam
83,8/6/2022,558.22,deposit,Quatz,transportation,savings,Rumyantsevo,RUB,lectus vestibulum quam sapien varius ut blandit non interdum in ante
84,8/25/2022,4764.62,withdrawal,Meeveo,groceries,checking,Kamionka Strumitowa,UAH,et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum
85,8/6/2022,6188.16,transfer,Realbuzz,groceries,savings,Yuqian,CNY,pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit
86,8/20/2022,5314.94,deposit,Flipopia,utilities,savings,El Paso,USD,pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque
87,8/24/2022,1153.64,deposit,Twiyo,utilities,credit card,Riihimäki,EUR,interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et
88,8/1/2022,9193.8,deposit,Babblestorm,groceries,credit card,Ngembak,IDR,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus
89,8/19/2022,4127.21,withdrawal,Kwilith,transportation,savings,Kainan,JPY,consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum
90,8/11/2022,8125.83,transfer,Mita,entertainment,checking,Stockholm,SEK,sapien cursus vestibulum proin eu mi nulla ac enim in tempor
91,8/19/2022,1234.22,deposit,Brightbean,utilities,checking,Aoluguya Ewenke Minzu,CNY,elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas
92,8/25/2022,4091.11,transfer,Lajo,transportation,checking,Duping,CNY,lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus
93,8/6/2022,7260.21,transfer,Abatz,transportation,checking,Banjar Bau Kawan,IDR,mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam
94,8/23/2022,9612.64,withdrawal,Voonix,groceries,checking,Sasebo,JPY,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis
95,8/19/2022,4410.73,deposit,Blogtags,utilities,savings,Kafir Qala,AFN,lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus
96,8/7/2022,9992.95,transfer,Wikido,transportation,checking,Matango,IDR,aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel
97,8/27/2022,6567.46,transfer,Youbridge,transportation,checking,Melekeok Village,USD,ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in
98,8/20/2022,6994.53,deposit,Lazzy,entertainment,credit card,Bilyayivka,UAH,eu sapien cursus vestibulum proin eu mi nulla ac enim in
99,8/1/2022,7591.73,deposit,Kwilith,entertainment,savings,Bełsznica,PLN,fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse
100,8/1/2022,4370.1,withdrawal,Twitterwire,groceries,credit card,Shipu,CNY,ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus
101,8/17/2022,8438.76,withdrawal,Bluejam,entertainment,credit card,Nobres,BRL,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum
102,8/20/2022,9136.41,deposit,Gabtype,groceries,credit card,Cielmice,PLN,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet
103,8/16/2022,109.26,transfer,Jaxspan,groceries,checking,Cumanayagua,CUP,rutrum nulla nunc purus phasellus in felis donec semper sapien
104,8/23/2022,5513.99,deposit,Oodoo,entertainment,credit card,Vimmerby,SEK,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis
105,8/28/2022,1745.83,deposit,Fiveclub,utilities,savings,Nong Khae,THB,risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula
106,8/9/2022,1685.4,transfer,Jaxbean,utilities,credit card,Sambiyan,IDR,non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse
107,8/20/2022,9556.95,deposit,Zazio,transportation,credit card,Lezhë,ALL,cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus
108,8/13/2022,8184.87,transfer,Babbleset,transportation,credit card,Dake,CNY,dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum
109,8/12/2022,3640.17,withdrawal,Edgetag,utilities,credit card,Langtad,PHP,rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula
110,8/4/2022,7961.11,deposit,Edgewire,transportation,credit card,Hậu Nghĩa,VND,montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus
111,8/28/2022,9015.61,transfer,Jayo,utilities,checking,Kacangan Lor,IDR,id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis
112,8/15/2022,770.96,deposit,Topdrive,entertainment,savings,Jia’an,CNY,quam a odio in hac habitasse platea dictumst maecenas ut
113,8/7/2022,802.63,withdrawal,Ailane,entertainment,savings,Hoani,KMF,purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst
114,8/24/2022,6599.1,transfer,Leexo,transportation,checking,São Sepé,BRL,sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue
115,8/1/2022,5836.25,withdrawal,Edgeify,transportation,credit card,Batatais,BRL,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor
116,8/30/2022,7323.83,withdrawal,Twinder,entertainment,credit card,Shirokaya Rechka,RUB,semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique
117,8/15/2022,3445.37,transfer,Vinder,groceries,checking,Lamawan,CNY,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet
118,8/13/2022,3828.06,transfer,Jabbersphere,entertainment,credit card,Kanye,BWP,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula
119,8/9/2022,7587.91,transfer,Plambee,groceries,credit card,Zuru,NGN,aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in
120,8/13/2022,3570.02,transfer,JumpXS,groceries,savings,Phimai,THB,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean
121,8/7/2022,6230.78,transfer,Twitternation,entertainment,checking,Oslo,NOK,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum
122,8/28/2022,7496.05,transfer,Bubblemix,transportation,checking,Lewo,IDR,facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros
123,8/2/2022,1075.79,transfer,Kare,entertainment,credit card,Gaolong,CNY,eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra
124,8/26/2022,2275.87,transfer,Buzzbean,utilities,checking,Xingnong,CNY,nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu
125,8/7/2022,977.18,withdrawal,Roodel,entertainment,savings,Borås,SEK,proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in
126,8/3/2022,4839.49,deposit,Minyx,utilities,credit card,Zhashkiv,UAH,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis
127,8/7/2022,2422.35,withdrawal,Twitternation,groceries,credit card,Secunda,ZAR,volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris
128,8/12/2022,7718.76,transfer,Wikido,transportation,checking,Martinópolis,BRL,sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum
129,8/2/2022,6334.64,deposit,Twitterbeat,transportation,credit card,Gryazovets,RUB,in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula
130,8/2/2022,2393.14,withdrawal,Yakijo,utilities,checking,Prince Rupert,CAD,id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam
131,8/5/2022,4055.69,withdrawal,Skyvu,groceries,savings,Mababanaba,PHP,pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa
132,8/11/2022,1374.51,transfer,Livetube,utilities,checking,Tulay na Lupa,PHP,accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor
133,8/21/2022,3535.37,deposit,Trilith,groceries,checking,Kuruman,ZAR,donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit
134,8/18/2022,4226.7,deposit,Dabtype,entertainment,savings,Greensboro,USD,tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam
135,8/4/2022,1716.31,withdrawal,Ailane,utilities,savings,Budrus,ILS,leo odio porttitor id consequat in consequat ut nulla sed accumsan
136,8/18/2022,9387.64,withdrawal,Skibox,utilities,credit card,Balazar,EUR,nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien
137,8/6/2022,679.33,withdrawal,Rhynoodle,utilities,savings,Anchorage,USD,dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus
138,8/13/2022,9774.59,transfer,Yamia,groceries,savings,Armenia,COP,vel nisl duis ac nibh fusce lacus purus aliquet at
139,8/8/2022,3237.09,withdrawal,Feedmix,transportation,credit card,Krynki,PLN,elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec
140,8/7/2022,7857.83,withdrawal,Pixope,transportation,savings,Tangchi,CNY,aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum
141,8/16/2022,8570.35,transfer,InnoZ,entertainment,credit card,Santa Teresa,NIO,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet
142,8/4/2022,882.37,withdrawal,Edgeblab,transportation,credit card,Gongchang,CNY,turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in
143,8/12/2022,9839.51,deposit,LiveZ,groceries,checking,Yangshan,CNY,leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a
144,8/16/2022,2098.37,withdrawal,Riffpath,entertainment,checking,Panolan,IDR,quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at
145,8/21/2022,2003.26,withdrawal,Dablist,groceries,savings,Komi,IDR,vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula
146,8/8/2022,4897.07,transfer,Digitube,utilities,checking,Liaozhong,CNY,dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae
147,8/24/2022,9234.96,withdrawal,Mymm,utilities,savings,Ban Selaphum,THB,eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero
148,8/17/2022,3901.51,transfer,Voonder,groceries,credit card,Tobias Barreto,BRL,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui
149,8/23/2022,3244.94,deposit,Twinte,entertainment,savings,Nebug,RUB,posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci
150,8/12/2022,4294.22,withdrawal,Rhynoodle,entertainment,credit card,Weitang,CNY,at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam
151,8/27/2022,5697.93,withdrawal,Quatz,transportation,savings,Jiangyin,CNY,dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit
152,8/18/2022,9331.82,withdrawal,Twitterbeat,utilities,savings,Zhangbei,CNY,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu
153,8/1/2022,4544.31,deposit,Kazu,groceries,credit card,Sarnów,PLN,magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et
154,8/25/2022,9471.3,deposit,Muxo,transportation,checking,Changchi,CNY,primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan
155,8/18/2022,1719.79,deposit,Yamia,transportation,checking,Fort Worth,USD,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien
156,8/7/2022,1425.24,transfer,Oyoba,transportation,credit card,Yongning,CNY,libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel
157,8/5/2022,7619.4,transfer,Pixoboo,utilities,credit card,Burgos,PHP,sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum
158,8/1/2022,1987.64,withdrawal,Jatri,transportation,savings,Zhongzhai,CNY,nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra
159,8/11/2022,4569.08,withdrawal,Meetz,groceries,checking,Cobh,EUR,non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst
160,8/24/2022,1032.47,withdrawal,Oodoo,utilities,savings,Trzcinica,PLN,feugiat non pretium quis lectus suspendisse potenti in eleifend quam
161,8/1/2022,4514.0,transfer,Oyope,utilities,checking,Kangping,CNY,auctor sed tristique in tempus sit amet sem fusce consequat nulla
162,8/27/2022,9937.71,transfer,Voomm,utilities,savings,Luzino,PLN,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis
163,8/5/2022,2584.63,deposit,Skiba,transportation,savings,Yongfu,CNY,est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl
164,8/9/2022,9029.11,deposit,Yombu,utilities,credit card,Gengcheng,CNY,tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi
165,8/16/2022,9987.19,withdrawal,Flipopia,groceries,credit card,Gurra e Vogël,ALL,lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam
